Id,flight_num,dep_time,sched_dep_time,carrier,air_time,arr_time,sched_arr_time,origin,dest,distance
13,194,558,600,UA,345,924,917,JFK,,2475
14,1124,558,600,UA,361,923,937,EWR,,2565
15,707,559,600,AA,257,941,910,LGA,,1389
16,1806,559,559,B6,44,702,706,JFK,,187
17,1187,559,600,UA,337,854,902,EWR,,2227
18,371,600,600,B6,152,851,858,LGA,,1076
19,4650,600,600,MQ,134,837,825,LGA,,762
20,343,601,600,B6,147,844,850,EWR,,1023
22,4401,602,605,MQ,105,821,805,LGA,,502
23,1895,606,610,AA,152,858,910,EWR,,1085
104,517,758,800,B6,142,1053,1054,EWR,,937
107,4406,800,810,MQ,80,949,955,JFK,,427
108,1172,801,805,B6,38,900,919,EWR,,200
152,3944,848,1835,MQ,41,1001,1950,JFK,,184
153,1741,848,851,UA,275,1155,1136,EWR,,1874
155,869,851,859,DL,106,1102,1105,EWR,,488
201,251,932,930,VX,324,1219,1225,JFK,,2248
202,4,933,937,B6,66,1057,1102,JFK,,301
318,1757,1219,1220,AA,161,1415,1415,LGA,,888
319,1715,1219,1225,DL,195,1451,1500,LGA,,1183
320,133,1220,1220,WN,142,1403,1340,EWR,,711
321,4679,1222,1159,EV,131,1512,1429,EWR,,820
421,1813,1442,1450,AA,141,1728,1755,JFK,,944
434,3843,1454,1500,9E,57,1635,1636,JFK,,209
435,1467,1454,1500,DL,340,1815,1837,JFK,,2475
436,119,1455,1457,B6,192,1731,1730,JFK,,1182
437,1053,1455,1459,B6,87,1655,1645,JFK,,340
